input_file,buffer_size,num_concurrent,vector_len,type,read_size,bandwidth
/mnt/abhi/read.bin,64,1,1,read,2.6505MB,0.53MB/s
/mnt/abhi/read.bin,64,1,4,read,10.5851MB,2.12MB/s
/mnt/abhi/read.bin,64,1,128,read,194.3880MB,38.88MB/s
/mnt/abhi/read.bin,64,1,1024,read,709.4927MB,141.90MB/s
/mnt/abhi/read.bin,64,8,1,read,11.4504MB,2.29MB/s
/mnt/abhi/read.bin,64,8,4,read,44.2061MB,8.84MB/s
/mnt/abhi/read.bin,64,8,128,read,776.6016MB,155.32MB/s
/mnt/abhi/read.bin,64,8,1024,read,2246.5741MB,449.31MB/s
/mnt/abhi/read.bin,64,64,1,read,32.2478MB,6.45MB/s
/mnt/abhi/read.bin,64,64,4,read,125.0591MB,25.01MB/s
/mnt/abhi/read.bin,64,64,128,read,1818.2308MB,363.65MB/s
/mnt/abhi/read.bin,64,64,1024,read,3758.0964MB,751.17MB/s
/mnt/abhi/read.bin,64,256,1,read,44.5153MB,8.90MB/s
/mnt/abhi/read.bin,64,256,4,read,172.9495MB,34.59MB/s
/mnt/abhi/read.bin,64,256,128,read,2178.9409MB,435.53MB/s
/mnt/abhi/read.bin,64,256,1024,read,4244.6356MB,847.23MB/s
/mnt/abhi/read.bin,64,1024,1,read,50.6593MB,10.13MB/s
/mnt/abhi/read.bin,64,1024,4,read,196.6080MB,39.32MB/s
/mnt/abhi/read.bin,64,1024,128,read,2340.4216MB,467.15MB/s
/mnt/abhi/read.bin,64,1024,1024,read,4429.1850MB,874.30MB/s
/mnt/abhi/read.bin,128,1,1,read,5.8140MB,1.16MB/s
/mnt/abhi/read.bin,128,1,4,read,22.3759MB,4.48MB/s
/mnt/abhi/read.bin,128,1,128,read,322.4044MB,64.48MB/s
/mnt/abhi/read.bin,128,1,1024,read,1070.2029MB,214.04MB/s
/mnt/abhi/read.bin,128,8,1,read,22.5475MB,4.51MB/s
/mnt/abhi/read.bin,128,8,4,read,84.0581MB,16.81MB/s
/mnt/abhi/read.bin,128,8,128,read,1196.2941MB,239.26MB/s
/mnt/abhi/read.bin,128,8,1024,read,2818.5723MB,563.71MB/s
/mnt/abhi/read.bin,128,64,1,read,63.5372MB,12.71MB/s
/mnt/abhi/read.bin,128,64,4,read,238.7476MB,47.75MB/s
/mnt/abhi/read.bin,128,64,128,read,2509.2424MB,501.75MB/s
/mnt/abhi/read.bin,128,64,1024,read,4051.6977MB,808.88MB/s
/mnt/abhi/read.bin,128,256,1,read,88.0148MB,17.60MB/s
/mnt/abhi/read.bin,128,256,4,read,331.7432MB,66.35MB/s
/mnt/abhi/read.bin,128,256,128,read,2923.4299MB,584.34MB/s
/mnt/abhi/read.bin,128,256,1024,read,4328.5217MB,863.12MB/s
/mnt/abhi/read.bin,128,1024,1,read,100.4012MB,20.06MB/s
/mnt/abhi/read.bin,128,1024,4,read,372.2445MB,74.45MB/s
/mnt/abhi/read.bin,128,1024,128,read,3019.8989MB,602.41MB/s
/mnt/abhi/read.bin,128,1024,1024,read,4294.9673MB,837.06MB/s
/mnt/abhi/read.bin,256,1,1,read,12.0241MB,2.40MB/s
/mnt/abhi/read.bin,256,1,4,read,44.1283MB,8.83MB/s
/mnt/abhi/read.bin,256,1,128,read,511.6723MB,102.33MB/s
/mnt/abhi/read.bin,256,1,1024,read,1544.8146MB,308.96MB/s
/mnt/abhi/read.bin,256,8,1,read,43.3316MB,8.67MB/s
/mnt/abhi/read.bin,256,8,4,read,154.6158MB,30.92MB/s
/mnt/abhi/read.bin,256,8,128,read,1610.0884MB,322.02MB/s
/mnt/abhi/read.bin,256,8,1024,read,3080.7163MB,616.02MB/s
/mnt/abhi/read.bin,256,64,1,read,119.0953MB,23.82MB/s
/mnt/abhi/read.bin,256,64,4,read,427.4258MB,85.49MB/s
/mnt/abhi/read.bin,256,64,128,read,2808.0865MB,561.62MB/s
/mnt/abhi/read.bin,256,64,1024,read,3741.3192MB,745.43MB/s
/mnt/abhi/read.bin,256,256,1,read,163.4468MB,32.68MB/s
/mnt/abhi/read.bin,256,256,4,read,582.7461MB,116.55MB/s
/mnt/abhi/read.bin,256,256,128,read,3321.8888MB,663.85MB/s
/mnt/abhi/read.bin,256,256,1024,read,4026.5318MB,797.49MB/s
/mnt/abhi/read.bin,256,1024,1,read,188.4815MB,37.70MB/s
/mnt/abhi/read.bin,256,1024,4,read,662.7000MB,132.51MB/s
/mnt/abhi/read.bin,256,1024,128,read,3523.2154MB,704.08MB/s
/mnt/abhi/read.bin,256,1024,1024,read,4294.9673MB,807.32MB/s
