input_file,buffer_size,num_concurrent,vector_len,type,read_size,bandwidth
/mnt/abhi/read.bin,1024,1,1,read,7180.8748MB,1436.17MB/s
/mnt/abhi/read.bin,1024,1,4,read,10292.6459MB,2058.12MB/s
/mnt/abhi/read.bin,1024,1,128,read,13782.3519MB,2756.47MB/s
/mnt/abhi/read.bin,1024,1,1024,read,16953.3768MB,3389.32MB/s
/mnt/abhi/read.bin,1024,8,1,read,13461.1599MB,2692.23MB/s
/mnt/abhi/read.bin,1024,8,4,read,18925.1912MB,3785.04MB/s
/mnt/abhi/read.bin,1024,8,128,read,21630.0257MB,4325.14MB/s
/mnt/abhi/read.bin,1024,8,1024,read,24142.4138MB,4827.52MB/s
/mnt/abhi/read.bin,1024,64,1,read,13900.3167MB,2780.06MB/s
/mnt/abhi/read.bin,1024,64,4,read,25174.2126MB,5033.84MB/s
/mnt/abhi/read.bin,1024,64,128,read,27162.3127MB,5432.46MB/s
/mnt/abhi/read.bin,1024,64,1024,read,27917.2874MB,5504.20MB/s
/mnt/abhi/read.bin,1024,256,1,read,13707.5098MB,2741.50MB/s
/mnt/abhi/read.bin,1024,256,4,read,28482.4699MB,5696.49MB/s
/mnt/abhi/read.bin,1024,256,128,read,28856.8115MB,5746.08MB/s
/mnt/abhi/read.bin,1024,256,1024,read,29527.9002MB,5782.98MB/s
/mnt/abhi/read.bin,1024,1024,1,read,13699.6454MB,2739.93MB/s
/mnt/abhi/read.bin,1024,1024,4,read,29917.9704MB,5980.01MB/s
/mnt/abhi/read.bin,1024,1024,128,read,30198.9888MB,6033.76MB/s
/mnt/abhi/read.bin,1024,1024,1024,read,31138.5129MB,5715.59MB/s
/mnt/abhi/read.bin,4096,1,1,read,27653.5050MB,5530.70MB/s
/mnt/abhi/read.bin,4096,1,4,read,32666.3045MB,6531.95MB/s
/mnt/abhi/read.bin,4096,1,128,read,34587.2794MB,6917.46MB/s
/mnt/abhi/read.bin,4096,1,1024,read,36335.2556MB,7264.15MB/s
/mnt/abhi/read.bin,4096,8,1,read,32754.6962MB,6550.94MB/s
/mnt/abhi/read.bin,4096,8,4,read,37387.1084MB,7477.42MB/s
/mnt/abhi/read.bin,4096,8,128,read,38977.6671MB,7793.97MB/s
/mnt/abhi/read.bin,4096,8,1024,read,36104.5688MB,7216.58MB/s
/mnt/abhi/read.bin,4096,64,1,read,32754.1064MB,6550.82MB/s
/mnt/abhi/read.bin,4096,64,4,read,39617.2984MB,7923.46MB/s
/mnt/abhi/read.bin,4096,64,128,read,35601.2524MB,7114.56MB/s
/mnt/abhi/read.bin,4096,64,1024,read,36238.7866MB,7210.26MB/s
/mnt/abhi/read.bin,4096,256,1,read,32108.4457MB,6421.69MB/s
/mnt/abhi/read.bin,4096,256,4,read,40319.8444MB,8059.13MB/s
/mnt/abhi/read.bin,4096,256,128,read,35836.1334MB,7165.79MB/s
/mnt/abhi/read.bin,4096,256,1024,read,36507.2220MB,7196.38MB/s
/mnt/abhi/read.bin,4096,1024,1,read,32669.4339MB,6533.89MB/s
/mnt/abhi/read.bin,4096,1024,4,read,36205.2321MB,7241.05MB/s
/mnt/abhi/read.bin,4096,1024,128,read,35970.3511MB,7100.35MB/s
/mnt/abhi/read.bin,4096,1024,1024,read,38654.7057MB,7184.89MB/s
/mnt/abhi/read.bin,65536,1,1,read,41528.9180MB,8304.12MB/s
/mnt/abhi/read.bin,65536,1,4,read,42856.6118MB,8569.61MB/s
/mnt/abhi/read.bin,65536,1,128,read,43914.3629MB,8774.10MB/s
/mnt/abhi/read.bin,65536,1,1024,read,36440.1132MB,7280.74MB/s
/mnt/abhi/read.bin,65536,8,1,read,44800.9339MB,8960.19MB/s
/mnt/abhi/read.bin,65536,8,4,read,45533.3642MB,9106.67MB/s
/mnt/abhi/read.bin,65536,8,128,read,36373.0043MB,7264.43MB/s
/mnt/abhi/read.bin,65536,8,1024,read,36507.2220MB,7230.58MB/s
/mnt/abhi/read.bin,65536,64,1,read,46212.8415MB,9240.72MB/s
/mnt/abhi/read.bin,65536,64,4,read,44862.2756MB,8972.46MB/s
/mnt/abhi/read.bin,65536,64,128,read,36507.2220MB,7260.78MB/s
/mnt/abhi/read.bin,65536,64,1024,read,38654.7057MB,7215.74MB/s
/mnt/abhi/read.bin,65536,256,1,read,42463.1337MB,8490.93MB/s
/mnt/abhi/read.bin,65536,256,4,read,35567.6979MB,7105.01MB/s
/mnt/abhi/read.bin,65536,256,128,read,36507.2220MB,7282.51MB/s
/mnt/abhi/read.bin,65536,256,1024,read,51539.6076MB,4409.62MB/s
/mnt/abhi/read.bin,65536,1024,1,read,33487.3231MB,6696.13MB/s
/mnt/abhi/read.bin,65536,1024,4,read,35970.3511MB,7188.32MB/s
/mnt/abhi/read.bin,65536,1024,128,read,42949.6730MB,7241.56MB/s
/mnt/abhi/read.bin,65536,1024,1024,read,68719.4767MB,2544.51MB/s
