input_file,buffer_size,num_concurrent,vector_len,type,read_size,bandwidth
/mnt/abhi/temp,1024,1,1,write,522.3035MB,104.46MB/s
/mnt/abhi/temp,1024,1,4,write,1809.0516MB,361.81MB/s
/mnt/abhi/temp,1024,1,128,write,7891.5830MB,1578.32MB/s
/mnt/abhi/temp,1024,1,1024,write,8089.7638MB,1617.95MB/s
/mnt/abhi/temp,1024,8,1,write,1920.7291MB,384.15MB/s
/mnt/abhi/temp,1024,8,4,write,5239.9636MB,1047.99MB/s
/mnt/abhi/temp,1024,8,128,write,7998.5377MB,1599.71MB/s
/mnt/abhi/temp,1024,8,1024,write,8355.0536MB,1671.01MB/s
/mnt/abhi/temp,1024,64,1,write,2897.4121MB,579.48MB/s
/mnt/abhi/temp,1024,64,4,write,7201.0957MB,1440.22MB/s
/mnt/abhi/temp,1024,64,128,write,8313.1105MB,1662.62MB/s
/mnt/abhi/temp,1024,64,1024,write,8657.0435MB,1718.35MB/s
/mnt/abhi/temp,1024,256,1,write,3040.6083MB,608.12MB/s
/mnt/abhi/temp,1024,256,4,write,6941.5731MB,1388.31MB/s
/mnt/abhi/temp,1024,256,128,write,7214.2029MB,1436.52MB/s
/mnt/abhi/temp,1024,256,1024,write,7784.6282MB,1521.92MB/s
/mnt/abhi/temp,1024,1024,1,write,3029.3361MB,605.75MB/s
/mnt/abhi/temp,1024,1024,4,write,6702.4978MB,1340.50MB/s
/mnt/abhi/temp,1024,1024,128,write,8053.0637MB,1589.00MB/s
/mnt/abhi/temp,1024,1024,1024,write,8589.9346MB,1590.14MB/s
/mnt/abhi/temp,4096,1,1,write,1834.6721MB,366.93MB/s
/mnt/abhi/temp,4096,1,4,write,6476.0218MB,1295.20MB/s
/mnt/abhi/temp,4096,1,128,write,8784.9697MB,1756.99MB/s
/mnt/abhi/temp,4096,1,1024,write,9424.6011MB,1884.54MB/s
/mnt/abhi/temp,4096,8,1,write,5403.9020MB,1080.78MB/s
/mnt/abhi/temp,4096,8,4,write,7949.6479MB,1589.93MB/s
/mnt/abhi/temp,4096,8,128,write,9525.2644MB,1905.05MB/s
/mnt/abhi/temp,4096,8,1024,write,9596.5676MB,1916.63MB/s
/mnt/abhi/temp,4096,64,1,write,6424.6252MB,1284.93MB/s
/mnt/abhi/temp,4096,64,4,write,8343.5192MB,1668.70MB/s
/mnt/abhi/temp,4096,64,128,write,10334.7651MB,2062.42MB/s
/mnt/abhi/temp,4096,64,1024,write,9932.1119MB,1984.04MB/s
/mnt/abhi/temp,4096,256,1,write,6914.3101MB,1382.86MB/s
/mnt/abhi/temp,4096,256,4,write,8631.8776MB,1726.03MB/s
/mnt/abhi/temp,4096,256,128,write,11140.0714MB,2204.65MB/s
/mnt/abhi/temp,4096,256,1024,write,10737.4182MB,1984.74MB/s
/mnt/abhi/temp,4096,1024,1,write,6731.8579MB,1346.37MB/s
/mnt/abhi/temp,4096,1024,4,write,8438.9396MB,1684.76MB/s
/mnt/abhi/temp,4096,1024,128,write,9126.8055MB,1778.76MB/s
/mnt/abhi/temp,4096,1024,1024,write,12884.9019MB,1847.56MB/s
/mnt/abhi/temp,65536,1,1,write,7986.8723MB,1597.37MB/s
/mnt/abhi/temp,65536,1,4,write,8435.2696MB,1687.05MB/s
/mnt/abhi/temp,65536,1,128,write,9445.5726MB,1889.11MB/s
/mnt/abhi/temp,65536,1,1024,write,9730.7853MB,1944.99MB/s
/mnt/abhi/temp,65536,8,1,write,8554.8073MB,1710.96MB/s
/mnt/abhi/temp,65536,8,4,write,9051.3080MB,1810.26MB/s
/mnt/abhi/temp,65536,8,128,write,8925.4789MB,1774.45MB/s
/mnt/abhi/temp,65536,8,1024,write,8589.9346MB,1715.24MB/s
/mnt/abhi/temp,65536,64,1,write,8921.2846MB,1784.26MB/s
/mnt/abhi/temp,65536,64,4,write,9529.4587MB,1905.89MB/s
/mnt/abhi/temp,65536,64,128,write,9126.8055MB,1774.95MB/s
/mnt/abhi/temp,65536,64,1024,write,12884.9019MB,1747.82MB/s
/mnt/abhi/temp,65536,256,1,write,9563.0131MB,1912.22MB/s
/mnt/abhi/temp,65536,256,4,write,10804.5271MB,2159.61MB/s
/mnt/abhi/temp,65536,256,128,write,10737.4182MB,1795.55MB/s
/mnt/abhi/temp,65536,256,1024,write,17179.8692MB,1747.88MB/s
/mnt/abhi/temp,65536,1024,1,write,8455.7169MB,1678.72MB/s
/mnt/abhi/temp,65536,1024,4,write,8589.9346MB,1682.98MB/s
/mnt/abhi/temp,65536,1024,128,write,17179.8692MB,1725.23MB/s
/mnt/abhi/temp,65536,1024,1024,write,68719.4767MB,1050.52MB/s
