input_file,buffer_size,num_concurrent,vector_len,type,read_size,bandwidth
/users/ak5/read.bin,1024,1,1,read,51.0003MB,12.75MB/s
/users/ak5/read.bin,1024,1,4,read,184.6804MB,46.17MB/s
/users/ak5/read.bin,1024,1,16,read,667.9101MB,166.98MB/s
/users/ak5/read.bin,1024,1,64,read,2556.5594MB,639.14MB/s
/users/ak5/read.bin,1024,1,256,read,15707.6685MB,3926.92MB/s
/users/ak5/read.bin,1024,1,1024,read,31371.2968MB,7842.82MB/s
/users/ak5/read.bin,1024,4,1,read,4508.8809MB,1127.22MB/s
/users/ak5/read.bin,1024,4,4,read,12222.8900MB,3055.72MB/s
/users/ak5/read.bin,1024,4,16,read,21789.8680MB,5447.47MB/s
/users/ak5/read.bin,1024,4,64,read,27709.1451MB,6927.29MB/s
/users/ak5/read.bin,1024,4,256,read,30925.6520MB,7731.41MB/s
/users/ak5/read.bin,1024,4,1024,read,31432.1142MB,7858.03MB/s
/users/ak5/read.bin,1024,8,1,read,4689.9446MB,1172.49MB/s
/users/ak5/read.bin,1024,8,4,read,12557.5496MB,3139.39MB/s
/users/ak5/read.bin,1024,8,16,read,21943.4189MB,5485.85MB/s
/users/ak5/read.bin,1024,8,64,read,27955.5604MB,6988.89MB/s
/users/ak5/read.bin,1024,8,256,read,30616.3220MB,7654.08MB/s
/users/ak5/read.bin,1024,8,1024,read,31272.7306MB,7818.18MB/s
/users/ak5/read.bin,1024,16,1,read,4740.1206MB,1185.03MB/s
/users/ak5/read.bin,1024,16,4,read,12662.2761MB,3165.57MB/s
/users/ak5/read.bin,1024,16,16,read,21331.7059MB,5332.93MB/s
/users/ak5/read.bin,1024,16,64,read,27907.8502MB,6976.96MB/s
/users/ak5/read.bin,1024,16,256,read,30450.6470MB,7612.66MB/s
/users/ak5/read.bin,1024,16,1024,read,24628.9531MB,6155.70MB/s
/users/ak5/read.bin,1024,32,1,read,4801.5606MB,1200.39MB/s
/users/ak5/read.bin,1024,32,4,read,12651.7248MB,3162.93MB/s
/users/ak5/read.bin,1024,32,16,read,21144.5350MB,5286.13MB/s
/users/ak5/read.bin,1024,32,64,read,28011.6593MB,7002.91MB/s
/users/ak5/read.bin,1024,32,256,read,30324.8179MB,7581.20MB/s
/users/ak5/read.bin,1024,32,1024,read,23186.1125MB,5790.74MB/s
/users/ak5/read.bin,1024,64,1,read,4819.1898MB,1204.80MB/s
/users/ak5/read.bin,1024,64,4,read,12514.7546MB,3128.69MB/s
/users/ak5/read.bin,1024,64,16,read,21278.7528MB,5319.69MB/s
/users/ak5/read.bin,1024,64,64,read,28143.7798MB,7035.94MB/s
/users/ak5/read.bin,1024,64,256,read,24712.8392MB,6178.21MB/s
/users/ak5/read.bin,1024,64,1024,read,22615.6872MB,5638.42MB/s
/users/ak5/read.bin,1024,128,1,read,4890.1652MB,1222.54MB/s
/users/ak5/read.bin,1024,128,4,read,12448.6943MB,3112.17MB/s
