input_file,buffer_size,num_concurrent,vector_len,type,read_size,bandwidth
/users/ak5/read.bin,1024,1,1,read,7906.7628MB,1976.69MB/s
/users/ak5/read.bin,1024,1,4,read,20654.4241MB,5163.61MB/s
/users/ak5/read.bin,1024,1,16,read,33149.9602MB,8287.49MB/s
/users/ak5/read.bin,1024,1,64,read,41072.2632MB,10268.07MB/s
/users/ak5/read.bin,1024,1,256,read,40032.2724MB,10008.07MB/s
/users/ak5/read.bin,1024,1,1024,read,42232.1848MB,10558.05MB/s
/users/ak5/read.bin,1024,4,1,read,10227.0730MB,2556.77MB/s
/users/ak5/read.bin,1024,4,4,read,24762.0895MB,6190.52MB/s
/users/ak5/read.bin,1024,4,16,read,34638.4630MB,8659.62MB/s
/users/ak5/read.bin,1024,4,64,read,39181.0908MB,9795.27MB/s
/users/ak5/read.bin,1024,4,256,read,41084.2563MB,10271.06MB/s
/users/ak5/read.bin,1024,4,1024,read,40626.2907MB,10156.57MB/s
/users/ak5/read.bin,1024,8,1,read,10961.8299MB,2740.46MB/s
/users/ak5/read.bin,1024,8,4,read,25618.4484MB,6404.61MB/s
/users/ak5/read.bin,1024,8,16,read,34852.1759MB,8713.04MB/s
/users/ak5/read.bin,1024,8,64,read,38837.6822MB,9709.42MB/s
/users/ak5/read.bin,1024,8,256,read,41464.8893MB,10366.22MB/s
/users/ak5/read.bin,1024,8,1024,read,34121.7116MB,8530.43MB/s
/users/ak5/read.bin,1024,16,1,read,11252.4820MB,2813.12MB/s
/users/ak5/read.bin,1024,16,4,read,26196.5087MB,6549.13MB/s
/users/ak5/read.bin,1024,16,16,read,34260.9101MB,8565.23MB/s
/users/ak5/read.bin,1024,16,64,read,38977.6671MB,9744.42MB/s
/users/ak5/read.bin,1024,16,256,read,40349.2045MB,10087.30MB/s
/users/ak5/read.bin,1024,16,1024,read,29541.5316MB,7383.54MB/s
/users/ak5/read.bin,1024,32,1,read,11428.1021MB,2857.03MB/s
/users/ak5/read.bin,1024,32,4,read,26154.7622MB,6538.69MB/s
/users/ak5/read.bin,1024,32,16,read,34153.1689MB,8538.29MB/s
/users/ak5/read.bin,1024,32,64,read,38895.8781MB,9723.97MB/s
/users/ak5/read.bin,1024,32,256,read,33889.9763MB,8472.49MB/s
/users/ak5/read.bin,1024,32,1024,read,27780.1861MB,6941.58MB/s
/users/ak5/read.bin,1024,64,1,read,11532.8942MB,2883.22MB/s
/users/ak5/read.bin,1024,64,4,read,25531.5149MB,6382.88MB/s
/users/ak5/read.bin,1024,64,16,read,33881.5877MB,8470.40MB/s
/users/ak5/read.bin,1024,64,64,read,38310.7727MB,9577.69MB/s
/users/ak5/read.bin,1024,64,256,read,28655.4849MB,7162.08MB/s
/users/ak5/read.bin,1024,64,1024,read,28249.9482MB,7046.63MB/s
/users/ak5/read.bin,1024,128,1,read,11445.9935MB,2861.50MB/s
/users/ak5/read.bin,1024,128,4,read,25694.8306MB,6423.71MB/s
/users/ak5/read.bin,1024,128,16,read,34110.1773MB,8527.54MB/s
/users/ak5/read.bin,1024,128,64,read,32933.6750MB,8233.42MB/s
/users/ak5/read.bin,1024,128,256,read,27648.8520MB,6908.76MB/s
/users/ak5/read.bin,1024,128,1024,read,27377.5329MB,6839.25MB/s
/users/ak5/read.bin,1024,256,1,read,11337.2037MB,2834.30MB/s
/users/ak5/read.bin,1024,256,4,read,25724.7150MB,6431.18MB/s
/users/ak5/read.bin,1024,256,16,read,32702.9883MB,8175.75MB/s
/users/ak5/read.bin,1024,256,64,read,27950.8419MB,6984.22MB/s
/users/ak5/read.bin,1024,256,256,read,27783.0697MB,6935.36MB/s
/users/ak5/read.bin,1024,256,1024,read,27914.4038MB,6919.78MB/s
/users/ak5/read.bin,4096,1,1,read,22362.2717MB,5590.57MB/s
/users/ak5/read.bin,4096,1,4,read,35633.6271MB,8908.41MB/s
/users/ak5/read.bin,4096,1,16,read,44242.4361MB,11060.61MB/s
/users/ak5/read.bin,4096,1,64,read,43374.8705MB,10843.72MB/s
/users/ak5/read.bin,4096,1,256,read,44083.9700MB,11020.99MB/s
/users/ak5/read.bin,4096,1,1024,read,41716.2854MB,10429.07MB/s
/users/ak5/read.bin,4096,4,1,read,25651.0362MB,6412.76MB/s
/users/ak5/read.bin,4096,4,4,read,37913.4935MB,9478.37MB/s
/users/ak5/read.bin,4096,4,16,read,41681.6824MB,10420.42MB/s
/users/ak5/read.bin,4096,4,64,read,43171.9711MB,10792.99MB/s
/users/ak5/read.bin,4096,4,256,read,43066.8513MB,10766.71MB/s
/users/ak5/read.bin,4096,4,1024,read,31141.6586MB,7785.41MB/s
/users/ak5/read.bin,4096,8,1,read,26335.2484MB,6583.81MB/s
/users/ak5/read.bin,4096,8,4,read,36296.1961MB,9074.05MB/s
/users/ak5/read.bin,4096,8,16,read,41992.3231MB,10498.08MB/s
/users/ak5/read.bin,4096,8,64,read,43337.6461MB,10834.41MB/s
/users/ak5/read.bin,4096,8,256,read,37509.9228MB,9377.48MB/s
/users/ak5/read.bin,4096,8,1024,read,30588.0105MB,7643.18MB/s
/users/ak5/read.bin,4096,16,1,read,26825.5887MB,6706.40MB/s
/users/ak5/read.bin,4096,16,4,read,36069.9658MB,9017.49MB/s
/users/ak5/read.bin,4096,16,16,read,41672.5074MB,10418.13MB/s
/users/ak5/read.bin,4096,16,64,read,42282.7786MB,10570.69MB/s
/users/ak5/read.bin,4096,16,256,read,31252.8077MB,7811.25MB/s
/users/ak5/read.bin,4096,16,1024,read,29849.8130MB,7455.00MB/s
/users/ak5/read.bin,4096,32,1,read,25967.3293MB,6491.83MB/s
/users/ak5/read.bin,4096,32,4,read,35618.5539MB,8904.64MB/s
/users/ak5/read.bin,4096,32,16,read,41634.7587MB,10408.69MB/s
/users/ak5/read.bin,4096,32,64,read,36784.0461MB,9196.01MB/s
/users/ak5/read.bin,4096,32,256,read,30732.7140MB,7683.18MB/s
/users/ak5/read.bin,4096,32,1024,read,29782.7041MB,7419.71MB/s
/users/ak5/read.bin,4096,64,1,read,25839.5341MB,6459.88MB/s
/users/ak5/read.bin,4096,64,4,read,36231.4465MB,9057.86MB/s
/users/ak5/read.bin,4096,64,16,read,38860.2266MB,9715.06MB/s
/users/ak5/read.bin,4096,64,64,read,30165.4344MB,7539.47MB/s
/users/ak5/read.bin,4096,64,256,read,29927.4076MB,7474.38MB/s
/users/ak5/read.bin,4096,64,1024,read,29782.7041MB,7410.48MB/s
/users/ak5/read.bin,4096,128,1,read,25775.0467MB,6443.76MB/s
/users/ak5/read.bin,4096,128,4,read,36530.2907MB,9132.57MB/s
/users/ak5/read.bin,4096,128,16,read,35794.1903MB,8948.55MB/s
/users/ak5/read.bin,4096,128,64,read,30198.9888MB,7549.75MB/s
/users/ak5/read.bin,4096,128,256,read,29524.7544MB,7379.34MB/s
/users/ak5/read.bin,4096,128,1024,read,29514.2687MB,7374.88MB/s
/users/ak5/read.bin,4096,256,1,read,25799.1639MB,6449.79MB/s
/users/ak5/read.bin,4096,256,4,read,35269.9023MB,8817.48MB/s
/users/ak5/read.bin,4096,256,16,read,29611.7862MB,7402.95MB/s
/users/ak5/read.bin,4096,256,64,read,29393.6824MB,7344.75MB/s
/users/ak5/read.bin,4096,256,256,read,29793.1899MB,7418.62MB/s
/users/ak5/read.bin,4096,256,1024,read,30051.1396MB,7369.09MB/s
/users/ak5/read.bin,16384,1,1,read,35286.0242MB,8821.51MB/s
/users/ak5/read.bin,16384,1,4,read,44821.3156MB,11205.33MB/s
/users/ak5/read.bin,16384,1,16,read,45198.6063MB,11299.65MB/s
/users/ak5/read.bin,16384,1,64,read,44002.1811MB,11000.55MB/s
/users/ak5/read.bin,16384,1,256,read,43054.2684MB,10763.57MB/s
/users/ak5/read.bin,16384,1,1024,read,31322.0137MB,7830.50MB/s
/users/ak5/read.bin,16384,4,1,read,37974.4420MB,9493.61MB/s
/users/ak5/read.bin,16384,4,4,read,43167.5146MB,10791.88MB/s
/users/ak5/read.bin,16384,4,16,read,43412.0950MB,10853.02MB/s
/users/ak5/read.bin,16384,4,64,read,42051.8298MB,10512.96MB/s
/users/ak5/read.bin,16384,4,256,read,31611.4207MB,7902.86MB/s
/users/ak5/read.bin,16384,4,1024,read,29879.1731MB,7460.47MB/s
/users/ak5/read.bin,16384,8,1,read,38290.3255MB,9572.58MB/s
/users/ak5/read.bin,16384,8,4,read,40978.3501MB,10244.59MB/s
/users/ak5/read.bin,16384,8,16,read,43308.2860MB,10827.07MB/s
/users/ak5/read.bin,16384,8,64,read,36780.9004MB,9195.23MB/s
/users/ak5/read.bin,16384,8,256,read,30923.5548MB,7727.03MB/s
/users/ak5/read.bin,16384,8,1024,read,29744.9554MB,7428.81MB/s
/users/ak5/read.bin,16384,16,1,read,37590.1389MB,9397.53MB/s
/users/ak5/read.bin,16384,16,4,read,41951.4286MB,10487.86MB/s
/users/ak5/read.bin,16384,16,16,read,41422.9463MB,10355.74MB/s
/users/ak5/read.bin,16384,16,64,read,31538.0204MB,7884.51MB/s
/users/ak5/read.bin,16384,16,256,read,29984.0307MB,7496.01MB/s
/users/ak5/read.bin,16384,16,1024,read,29744.9554MB,7423.25MB/s
/users/ak5/read.bin,16384,32,1,read,35313.9425MB,8828.49MB/s
/users/ak5/read.bin,16384,32,4,read,42217.7669MB,10554.44MB/s
/users/ak5/read.bin,16384,32,16,read,36096.1802MB,9024.05MB/s
/users/ak5/read.bin,16384,32,64,read,30866.9317MB,7712.88MB/s
/users/ak5/read.bin,16384,32,256,read,30185.3573MB,7514.40MB/s
/users/ak5/read.bin,16384,32,1024,read,30013.3908MB,7397.93MB/s
/users/ak5/read.bin,16384,64,1,read,36479.9590MB,9119.99MB/s
/users/ak5/read.bin,16384,64,4,read,40529.5596MB,10132.39MB/s
/users/ak5/read.bin,16384,64,16,read,30987.5180MB,7746.88MB/s
/users/ak5/read.bin,16384,64,64,read,29793.1899MB,7442.72MB/s
/users/ak5/read.bin,16384,64,256,read,30051.1396MB,7495.92MB/s
/users/ak5/read.bin,16384,64,1024,read,30013.3908MB,7497.72MB/s
/users/ak5/read.bin,16384,128,1,read,35792.0932MB,8948.02MB/s
/users/ak5/read.bin,16384,128,4,read,35450.2574MB,8862.56MB/s
/users/ak5/read.bin,16384,128,16,read,30266.0977MB,7558.97MB/s
/users/ak5/read.bin,16384,128,64,read,29793.1899MB,7429.72MB/s
/users/ak5/read.bin,16384,128,256,read,30051.1396MB,7423.70MB/s
/users/ak5/read.bin,16384,128,1024,read,30013.3908MB,7425.38MB/s
/users/ak5/read.bin,16384,256,1,read,35345.3998MB,8836.35MB/s
/users/ak5/read.bin,16384,256,4,read,30618.4192MB,7652.69MB/s
/users/ak5/read.bin,16384,256,16,read,29863.4445MB,7454.68MB/s
/users/ak5/read.bin,16384,256,64,read,29793.1899MB,7420.47MB/s
/users/ak5/read.bin,16384,256,256,read,30051.1396MB,7479.13MB/s
/users/ak5/read.bin,16384,256,1024,read,29828.8415MB,7449.76MB/s
/users/ak5/read.bin,65536,1,1,read,44274.3521MB,11068.59MB/s
/users/ak5/read.bin,65536,1,4,read,45918.4538MB,11479.61MB/s
/users/ak5/read.bin,65536,1,16,read,45407.0108MB,11351.75MB/s
/users/ak5/read.bin,65536,1,64,read,42433.5114MB,10608.38MB/s
/users/ak5/read.bin,65536,1,256,read,32160.8745MB,8040.22MB/s
/users/ak5/read.bin,65536,1,1024,read,29996.6136MB,7486.05MB/s
/users/ak5/read.bin,65536,4,1,read,43865.0798MB,10966.27MB/s
/users/ak5/read.bin,65536,4,4,read,44864.3727MB,11216.09MB/s
/users/ak5/read.bin,65536,4,16,read,43398.2013MB,10849.55MB/s
/users/ak5/read.bin,65536,4,64,read,32550.9448MB,8137.74MB/s
/users/ak5/read.bin,65536,4,256,read,30147.6086MB,7527.49MB/s
/users/ak5/read.bin,65536,4,1024,read,29929.5048MB,7467.44MB/s
/users/ak5/read.bin,65536,8,1,read,42906.1571MB,10726.54MB/s
/users/ak5/read.bin,65536,8,4,read,43331.3546MB,10832.84MB/s
/users/ak5/read.bin,65536,8,16,read,37291.8190MB,9322.95MB/s
/users/ak5/read.bin,65536,8,64,read,30890.0004MB,7720.57MB/s
/users/ak5/read.bin,65536,8,256,read,29879.1731MB,7443.74MB/s
/users/ak5/read.bin,65536,8,1024,read,30197.9402MB,7545.71MB/s
/users/ak5/read.bin,65536,16,1,read,43373.2977MB,10843.32MB/s
/users/ak5/read.bin,65536,16,4,read,43419.4350MB,10854.86MB/s
/users/ak5/read.bin,65536,16,16,read,32175.5546MB,8043.89MB/s
/users/ak5/read.bin,65536,16,64,read,29984.0307MB,7494.13MB/s
/users/ak5/read.bin,65536,16,256,read,30013.3908MB,7454.89MB/s
/users/ak5/read.bin,65536,16,1024,read,30734.8111MB,7494.47MB/s
/users/ak5/read.bin,65536,32,1,read,42081.4520MB,10520.36MB/s
/users/ak5/read.bin,65536,32,4,read,36322.6726MB,9080.67MB/s
/users/ak5/read.bin,65536,32,16,read,30833.3773MB,7708.34MB/s
/users/ak5/read.bin,65536,32,64,read,29916.9219MB,7475.49MB/s
/users/ak5/read.bin,65536,32,256,read,30550.2618MB,7513.59MB/s
/users/ak5/read.bin,65536,32,1024,read,31808.5530MB,7544.72MB/s
/users/ak5/read.bin,65536,64,1,read,42886.7584MB,10721.69MB/s
/users/ak5/read.bin,65536,64,4,read,31843.1560MB,7958.80MB/s
/users/ak5/read.bin,65536,64,16,read,29927.4076MB,7481.85MB/s
/users/ak5/read.bin,65536,64,64,read,30051.1396MB,7497.79MB/s
/users/ak5/read.bin,65536,64,256,read,30013.3908MB,7495.85MB/s
/users/ak5/read.bin,65536,64,1024,read,33773.5844MB,7478.65MB/s
/users/ak5/read.bin,65536,128,1,read,35777.4131MB,8944.35MB/s
/users/ak5/read.bin,65536,128,4,read,30802.9686MB,7698.82MB/s
/users/ak5/read.bin,65536,128,16,read,30061.6253MB,7489.19MB/s
/users/ak5/read.bin,65536,128,64,read,30051.1396MB,7484.72MB/s
/users/ak5/read.bin,65536,128,256,read,32160.8745MB,7531.82MB/s
/users/ak5/read.bin,65536,128,1024,read,38041.5508MB,7535.96MB/s
/users/ak5/read.bin,65536,256,1,read,24763.1708MB,6190.79MB/s
/users/ak5/read.bin,65536,256,4,read,29460.7913MB,7359.68MB/s
