input_file,buffer_size,num_concurrent,vector_len,type,read_size,bandwidth
/users/ak5/read.bin,1024,1,1,write,655.4522MB,163.86MB/s
/users/ak5/read.bin,1024,1,4,write,2168.5412MB,542.14MB/s
/users/ak5/read.bin,1024,1,16,write,3539.4191MB,884.85MB/s
/users/ak5/read.bin,1024,1,64,write,5381.6852MB,1345.42MB/s
/users/ak5/read.bin,1024,1,256,write,5338.5626MB,1334.64MB/s
/users/ak5/read.bin,1024,1,1024,write,5476.7124MB,1369.18MB/s
/users/ak5/read.bin,1024,4,1,write,1494.7697MB,373.69MB/s
/users/ak5/read.bin,1024,4,4,write,2992.4065MB,748.10MB/s
/users/ak5/read.bin,1024,4,16,write,4758.7000MB,1189.68MB/s
/users/ak5/read.bin,1024,4,64,write,5224.7921MB,1306.20MB/s
/users/ak5/read.bin,1024,4,256,write,5499.7811MB,1374.95MB/s
/users/ak5/read.bin,1024,4,1024,write,5016.3876MB,1253.16MB/s
/users/ak5/read.bin,1024,8,1,write,1567.7358MB,391.93MB/s
/users/ak5/read.bin,1024,8,4,write,3446.6038MB,861.65MB/s
/users/ak5/read.bin,1024,8,16,write,4912.5786MB,1228.14MB/s
/users/ak5/read.bin,1024,8,64,write,5257.5601MB,1314.39MB/s
/users/ak5/read.bin,1024,8,256,write,5490.3439MB,1372.24MB/s
/users/ak5/read.bin,1024,8,1024,write,5058.3306MB,1262.69MB/s
/users/ak5/read.bin,1024,16,1,write,1987.2481MB,496.81MB/s
/users/ak5/read.bin,1024,16,4,write,4613.7999MB,1153.45MB/s
/users/ak5/read.bin,1024,16,16,write,5031.8541MB,1257.96MB/s
/users/ak5/read.bin,1024,16,64,write,5309.9889MB,1327.50MB/s
/users/ak5/read.bin,1024,16,256,write,5511.3155MB,1377.83MB/s
/users/ak5/read.bin,1024,16,1024,write,4764.7293MB,1190.59MB/s
/users/ak5/read.bin,1024,32,1,write,2108.6863MB,527.17MB/s
/users/ak5/read.bin,1024,32,4,write,4353.9497MB,1088.49MB/s
/users/ak5/read.bin,1024,32,16,write,5076.6807MB,1269.17MB/s
/users/ak5/read.bin,1024,32,64,write,5465.1781MB,1365.95MB/s
/users/ak5/read.bin,1024,32,256,write,5276.4344MB,1319.11MB/s
/users/ak5/read.bin,1024,32,1024,write,4630.5116MB,1156.18MB/s
/users/ak5/read.bin,1024,64,1,write,2297.1679MB,574.29MB/s
/users/ak5/read.bin,1024,64,4,write,4191.1583MB,1047.79MB/s
/users/ak5/read.bin,1024,64,16,write,5123.3423MB,1280.84MB/s
/users/ak5/read.bin,1024,64,64,write,5603.5901MB,1399.85MB/s
/users/ak5/read.bin,1024,64,256,write,5385.4863MB,1345.03MB/s
/users/ak5/read.bin,1024,64,1024,write,4563.4028MB,1137.44MB/s
/users/ak5/read.bin,1024,128,1,write,2453.6678MB,613.42MB/s
/users/ak5/read.bin,1024,128,4,write,4378.8534MB,1094.71MB/s
/users/ak5/read.bin,1024,128,16,write,4156.5553MB,1039.14MB/s
/users/ak5/read.bin,1024,128,64,write,4739.5635MB,1184.30MB/s
/users/ak5/read.bin,1024,128,256,write,5066.7192MB,1264.47MB/s
/users/ak5/read.bin,1024,128,1024,write,4831.8382MB,1169.65MB/s
/users/ak5/read.bin,1024,256,1,write,2362.9660MB,590.74MB/s
/users/ak5/read.bin,1024,256,4,write,4424.9907MB,1106.25MB/s
/users/ak5/read.bin,1024,256,16,write,4286.5787MB,1071.11MB/s
/users/ak5/read.bin,1024,256,64,write,4882.1699MB,1220.24MB/s
/users/ak5/read.bin,1024,256,256,write,4764.7293MB,1180.56MB/s
/users/ak5/read.bin,1024,256,1024,write,4831.8382MB,1173.92MB/s
/users/ak5/read.bin,4096,1,1,write,1510.6048MB,377.65MB/s
/users/ak5/read.bin,4096,1,4,write,4529.6026MB,1132.40MB/s
